Control_3H_1	Control_3H_2	Control_3H_3	Control_9H_1	Control_9H_2	Control_9H_3	Control_27H_1	Control_27H_2	Control_27H_3	Cold_3H_1	Cold_3H_2	Cold_3H_3	Cold_9H_1	Cold_9H_2	Cold_9H_3	Cold_27H_1	Cold_27H_2	Cold_27H_3	Heat_3H_1	Heat_3H_2	Heat_3H_3	Heat_9H_1	Heat_9H_2	Heat_9H_3	Heat_27H_1	Heat_27H_2	Heat_27H_3	Salt_3H_1	Salt_3H_2	Salt_3H_3	Salt_9H_1	Salt_9H_2	Salt_9H_3	Salt_27H_1	Salt_27H_2	Salt_27H_3
STMDF90	0.137357139	-0.365306508	-0.153294481	0.44754535	0.287476796	0.248818724	0.179325865	0.127993099	-0.117346844	1.056555447	0.394892104	0.388420263	0.891065628	0.955041856	0.812238637	0.94981166	0.721179519	0.64321183	0.197727827	0.084017291	-0.12528503	0.350027936	0.053562464	-0.057034041	0.142516442	0.282487355	0.030857873	0.268176744	0.064034276	0.175783212	0.105069803	0.664392219	0.516769512	0.475465717	0.338796624	0.359602144
STMCJ24	NA	NA	NA	NA	NA	NA	NA	NA	-0.485809609	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
STMJH42	0.078644494	0.100232848	-0.173654882	-0.252794839	0.184855409	-0.118319967	-0.148218361	-0.091147888	-0.271326183	-0.16970016	0.365709787	0.524496826	0.397335498	0.507476872	0.449344776	0.344315311	0.307077875	0.413579495	-0.271101033	-0.204632736	-0.137924021	-0.457067965	0.191476746	-0.104202031	0.134995215	-0.27521453	0.18979784	-0.153006761	-0.10099037	0.07796931	0.308062661	0.668445881	0.670733623	0.301477485	-0.036119426	0.230909075
STMDE66	0.229769912	0.474097484	0.469307162	0.371010592	-0.004992029	0.002459839	-0.003879953	0.261827635	0.294490316	-1.908442715	-0.826778295	-0.118538332	-1.239246527	-1.21510774	-0.640178113	-0.724702726	-0.346254975	-0.2085104	0.595245474	0.38223087	0.79534306	-0.333407686	-0.082149041	0.516112048	0.284827096	-0.065724182	0.593781448	-0.411767446	-0.152003093	-0.069530325	-0.57056628	-0.975442896	-0.834528261	-0.405387329	-0.773724144	-0.40385995
STMIX74	0.144076178	-0.480186374	-0.078479988	0.056923312	0.01304542	0.076794351	-0.128584206	0.193453537	0.109400918	0.268683853	-0.026057813	0.067665976	0.211926343	0.250390197	0.133413348	-0.213101443	0.133935771	0.409310239	-0.310180185	-0.27240419	-0.328126809	-0.09254706	-0.175507614	-0.269286615	-0.15935576	-0.018645753	-0.129608572	0.094001885	-0.066132169	0.298326823	-0.050185757	0.211504105	0.128007612	0.173744873	0.299668135	0.075972952
STMCL34	0.064940783	0.044729856	0.042807898	0.161280907	0.088048892	0.277007348	0.046143427	0.162755905	0.056277869	-0.052391198	0.010102404	0.252152933	0.414730249	0.099115614	0.471835252	0.643738173	0.161069174	0.394459175	0.115399555	-0.022876719	0.284600821	0.176919608	-0.118159638	0.125439105	-0.449389004	0.054592386	-0.199680177	0.0662156	-0.03839113	0.367731785	0.695145418	0.09992313	0.44097571	0.020982199	-0.012421805	0.027294099
STMHZ45	-0.002160594	0.244904772	0.425135293	0.112474729	0.066246355	0.050596642	-0.13875099	-0.035146275	0.429953961	1.515001811	1.495604301	1.478097763	1.117843677	1.510878932	1.653220029	0.995682397	1.732931491	1.524732364	-0.201113088	0.027124225	0.297600689	-0.214603261	0.034225046	0.244515055	0.206716237	0.106567648	0.059254144	0.71516687	1.043862076	1.255766617	0.272319552	1.01010059	0.413288748	1.333972996	0.917263172	1.365764004
STMCC46	0.129241254	0.087195779	0.028374645	0.344013558	-0.07812678	0.0707841	-0.128954603	0.254174429	-0.079143885	-0.20959245	-0.205448108	-0.216072825	-0.037399972	-0.390546018	-0.25423209	-0.241737424	-0.200843053	-0.210297982	0.447229001	0.373720204	0.17146552	0.092004314	0.0011491	0.195362215	0.181529046	-0.253274928	0.344392245	0.027522126	0.269682782	0.136347518	0.530722913	-0.038081007	0.03709826	0.001191818	0.00347498	0.080852038
STMIZ34	NA	0.332420469	0.287029887	NA	-0.049753035	NA	0.352003759	0.05264148	NA	NA	NA	NA	NA	0.278353456	NA	NA	NA	-0.174424388	0.094378824	-0.486930418	NA	-0.709409872	-0.109624491	NA	NA	NA	NA	NA	-0.064652958	NA	NA	0.010231923	NA	-0.063565129	NA	0.386331128
STMGU22	0.144490418	0.16773914	0.345003852	-0.128139859	0.044096237	0.139976009	0.176658108	0.050983929	0.197361778	-0.519153702	-0.16592262	0.006960562	-0.295611657	-0.238437259	0.0759386	-0.077280894	-0.168088238	-0.002794117	0.060924912	0.260793848	0.340059979	0.097799006	0.01267118	0.210203234	0.114144508	0.067345354	-0.048647972	-0.094265249	-0.18200735	-0.075276433	-0.01588122	-0.107752763	0.062257689	0.040447258	0.075078024	-0.139529285
STMJB83	-0.197730367	NA	0.441837559	NA	0.178550248	NA	-0.030642463	-0.059501012	-0.257157839	NA	-0.087462841	NA	NA	0.130483096	0.672312636	NA	NA	NA	NA	NA	NA	0.039241632	-0.207032785	NA	NA	NA	NA	NA	0.185643235	NA	NA	0.189033824	0.411133045	0.330033145	NA	NA
STMGL58	0.05672259	-0.020265848	0.08552196	NA	0.062735755	0.142740172	-0.091833066	-0.051208249	0.045193423	NA	0.530803313	0.314734482	NA	-0.253876378	-0.301124179	0.349211697	0.178445641	-0.085200873	-0.506651984	-0.102009464	0.064599807	-0.134193323	0.051994638	0.103480997	-0.308584624	-0.534734467	-0.225532556	-0.112516522	0.61589436	0.35393315	0.561878888	0.014416773	0.218390491	0.677396328	0.209258811	0.282011351
STMIF71	0.092409311	-0.278561218	-0.244468698	-0.146866262	-0.145297618	-0.174628058	0.043878199	-0.172731362	0.048577372	0.473790649	0.329715208	0.253864901	0.624512981	0.709717532	0.626517244	0.791026174	0.766202815	0.752244857	0.286363091	-0.306268689	-0.059556845	0.053371341	-0.187039022	0.008515573	0.353156758	0.100537584	0.145889263	0.096883351	0.253230574	0.337063936	0.14870173	0.50985426	0.550052864	0.22521294	0.626819671	0.631614812
STMEG62	-0.138563446	-0.033454129	0.246808446	0.043602781	0.331018711	0.451136587	0.078018024	0.040223013	0.175026004	0.697838148	0.180232897	0.310481991	0.106250661	0.579809601	0.334627116	-0.575973717	-0.355342842	-0.046437672	0.358219176	0.352501357	0.124518346	0.500264544	0.091108754	0.168245866	0.17663337	0.46158188	0.0606363	0.333099387	0.136196291	0.259731748	0.343240339	-0.060065679	-0.066649358	-0.202703013	-0.228870195	-0.229857763
STMIA38	0.14944781	0.46660063	0.192727478	-0.190228907	-0.309200664	-0.377035292	-0.142238985	-0.226397438	-0.006845928	-0.262715613	0.043379868	-0.129592359	-0.038143068	-0.374258138	-0.065634413	0.318692386	0.591400055	0.195547392	-0.224809703	-0.144898364	-0.124528696	-0.589288426	-0.529837183	-0.062085701	-0.158156789	-0.767050811	-0.077629161	-0.317790922	0.282454323	-0.267160021	-0.225300971	-0.172697669	-0.111102194	-0.599258209	-0.715833172	0.099318234
