Time	Replicate	Control	Cold	Heat	Salt
Control_3H_1	3	1	1	0	0	0
Control_3H_2	3	1	1	0	0	0
Control_3H_3	3	1	1	0	0	0
Control_9H_1	9	2	1	0	0	0
Control_9H_2	9	2	1	0	0	0
Control_9H_3	9	2	1	0	0	0
Control_27H_1	27	3	1	0	0	0
Control_27H_2	27	3	1	0	0	0
Control_27H_3	27	3	1	0	0	0
Cold_3H_1	3	4	0	1	0	0
Cold_3H_2	3	4	0	1	0	0
Cold_3H_3	3	4	0	1	0	0
Cold_9H_1	9	5	0	1	0	0
Cold_9H_2	9	5	0	1	0	0
Cold_9H_3	9	5	0	1	0	0
Cold_27H_1	27	6	0	1	0	0
Cold_27H_2	27	6	0	1	0	0
Cold_27H_3	27	6	0	1	0	0
Heat_3H_1	3	7	0	0	1	0
Heat_3H_2	3	7	0	0	1	0
Heat_3H_3	3	7	0	0	1	0
Heat_9H_1	9	8	0	0	1	0
Heat_9H_2	9	8	0	0	1	0
Heat_9H_3	9	8	0	0	1	0
Heat_27H_1	27	9	0	0	1	0
Heat_27H_2	27	9	0	0	1	0
Heat_27H_3	27	9	0	0	1	0
Salt_3H_1	3	10	0	0	0	1
Salt_3H_2	3	10	0	0	0	1
Salt_3H_3	3	10	0	0	0	1
Salt_9H_1	9	11	0	0	0	1
Salt_9H_2	9	11	0	0	0	1
Salt_9H_3	9	11	0	0	0	1
Salt_27H_1	27	12	0	0	0	1
Salt_27H_2	27	12	0	0	0	1
Salt_27H_3	27	12	0	0	0	1
